judul,penulis,dosen_1,dosen_2,abstrak_ID,abstrak_EN
PENGARUH PENGEMBANGAN KARIR TERHADAP SEMANGAT KERJA KARYAWAN PLN CABANG BANGKALAN,Penulis : Danial Aziz M.YD,"Dosen Pembimbing I : Dr. Hj. Iriani Ismail, Dra.,MM","Dosen Pembimbing II :Drs. Ec. Mudji Kuswinarno, M.Si","PLN merupakan Badan Usaha Milik Negara yang bergerak dalam bidang penyediaan listrik nasional. PLN mengelola bisnisnya melalui praktek-paktek terbaik dengan mengoptimalisasikan sumbr daya manusia yang dimiliki. Salah satu caranya melalui proses pengembangan karir. Tujuan penelitian ini adalah untuk mengetahui apakah terdapat pengaruh yang signifikan antara pengembangan karir terhadap semangat kerja karyawan PLN Cabang Bangkalan secara parsial dan secara simultan .Penelitian ini bersifat penelitian populasi. Besar populasi pada penelitian ini sebesar 64 responden.Uji kuesioner yang digunakan adalah uji validitas dan uji reliabilitas. Teknik analisis data menggunakan analisis regresi linier berganda, uji t, uji F dan koefisien determinasi.
Hasil penelitian ini menyatakan  variabel pengembangan karir yang terdiri dari prestasi kerja, pengenalan, kesetiaan orgnisasional, mentor dan sponsor serta kesempatan untuk tumbuh memiliki pengaruh yang positif terhadap semangat kerja karyawan. Dari 5 variabel diatas, prestasi kerja merupakan variabel yang memiliki pengaruh paling kuat terhadap semangat kerja karyawan PLN cabang bangkalan 
Kata kunci :Pengembangan karir, semangat kerja,Karyawan PLN","PLN is a state-owned enterprise dealy with the supply of national electricity. Its through the best practices by maximizing the human resources. One  is career development process. The aim of this research is to discover whether there are significant influences of the career development over the motivation of the workers at PLN in Bangkalan partially and simultaneously. It is actually population research of this involves 64 respondents. The questionnaire test used is validity and reliability. The technique of data analysis is the analysis of double linear regression, T test, F test, and coefficient determination.
The result of this researchs show that career developments are work performance, introduction, organizational loyalty, mentor, sponsor, and the chance of growing has positive influences over the motivation of the workers. From the five variables above, the work performance has the strongest influence over the motivation of the workers at PLN in Bangkalan.
Keywords:  Career development, motivation, PLN’s worker"
"PELAPORAN BIAYA KUALITAS UNTUK MEMINIMALKAN TERJADINYA RISIKO PRODUK CACAT DALAM MENINGKATKAN PROFITABILITAS PERUSAHAAN PADA CV. KAPUAS INTI SARANA, SURABAYA",Penulis : M. Boy Singgih Gitayuda,"Dosen Pembimbing I : Drs. Ec. Makhmud Zulkifli, M.Si","Dosen Pembimbing II :Prasetyo Nugroho,. S.Pi., MM","ABSTRAK

Penelitian ini mengungkapkan beberapa rumusan masalah, diantaranya adalah bagaimanakah pelaporan biaya kualitas dapat meminimalkan terjadinya risiko produk cacat pada CV. Kapuas Inti Sarana?, dan bagaimanakah pengaruh pelaporan biaya kualitas terhadap tingkat profitabilitas pada CV. Kapuas Inti Sarana?. Penelitian ini bertujuan untuk mengetahui adanya pengaruh pelaporan biaya kualitas terhadap terjadinya risiko produk cacat dan tingkat profitabilitas perusahaan. 
Penelitian ini menggunakan metode deskriptif, yang menggambarkan suatu fenomena dengan mendeskripsikan sejumlah variabel yang berasal dari data masa lalu dan yang terjadi pada masa sekarang. 
Hasil dari penelitian ini adalah dengan pelaporan biaya kualitas secara periodik dan terperinci dapat berpengaruh pada peningkatan profitabilitas perusahaan, ini dapat terjadi karena pelaporan biaya kualitas secara terperinci akan mengurangi terjadinya risiko produk cacat. Apabila produk cacat berkurang maka akan berpengaruh pada peningkatan penjualan, yang secara langsung juga akan berpengaruh pada meningkatnya profitabilitas perusahaan secara keseluruhan. 
Kata kunci: Risiko produk cacat, biaya kualitas, profitabilitas
","ABSTRACT

This study revealed some formulation of the problem, such as how reporting the cost of quality can minimize risk defects on CV. Kapuas Inti Sarana?, And how does it influence reporting the cost of quality on the level of profitability on the CV. Kapuas Inti Sarana?. This study aimed to investigate the influence of reporting cost of quality against the risk of defective products and the profitability of the company.
This research uses descriptive method, which describes a phenomenon by describing a number of variables derived from past data and is happening in the present.
The results of this study is to periodically reporting the cost of quality and detail can affect the profitability of the company, this can happen because a detailed cost reporting quality will reduce the risk of defective products. If the defective product is reduced it will affect the increase in sales, which directly have an effect on increasing the profitability of the company as a whole.
Keywords: Risk of defective products, the cost of quality, profitability.
"
"PENGARUH PERSEPSI MANFAAT, PERSEPSI KEMUDAHAN, KEAMANAN DAN KETERSEDIAAN FITUR TERHADAP MINAT ULANG NASABAH BANK DALAM MENGGUNAKAN INTERNET BANKING (Studi pada Program Layanan Internet Banking BRI)",Penulis : Ahmad,"Dosen Pembimbing I : Bambang Setiyo Pambudi, S.E., MM.","Dosen Pembimbing II :Fathor AS, S.E., MM.","Tujuan penelitian ini adalah untuk mengidentifikasi variabel-variabel yang mempengaruhi minat ulang nasabah BRI untuk menggunakan kembali layanan Internet Banking BRI baik secara parsial maupun simultan. Penelitian ini dilakukan dengan metode kuantitatif dimana populasi dalam penelitian ini adalah semua nasabah BRI di kota Bangkalan yang menggunakan layanan Internet Banking BRI dan diperoleh sampel sebanyak 50 responden yang diambil dengan teknik purposive sampling. Teknik analisis menggunakan regresi linier berganda. Hasil penelitian menunjukkan bahwa, (1) secara simultan terjadi pengaruh yang signifikan antara variabel bebas (persepsi manfaat, persepsi kemudahan, keamanan, dan ketersediaan fitur) terhadap minat ulang menggunakan internet banking, (2) secara parsial, menunjukkan bahwa semua variabel bebas berpengaruh positif dan signifikan terhadap minat ulang menggunakan layanan internet banking, kecuali pada variabel persepsi kemudahan, kecuali pada variabel persepsi kemudahan.
Kata Kunci: Persepsi Manfaat, Persepsi Kemudahan, Keamanan, Ketersediaan Fitur, Minat Ulang Menggunakan Internet Banking.","The purpose of this research was to identify variables that affect re-intention BRI customer to use the service again Internet Banking BRI either partially or simultaneously. The research was conducted through a quantitative methods in which the population in this research are all the BRI customers in the town of Bangkalan who use the Internet Banking BRI service, and obtained a sample of 50 respondents, who used with purposive sampling method. Analysis with multiple linier regression. Result of this research shows that, (1) occur simultaneously significant effect between the independent variables on Re-intention customer bank on Use Internet Banking, (2) partially, indicating that the independent variables has a positive and significant impact on customer re-intention to use internet banking services, except on Perceived Ease of Use variable.
Keywords: Perceived Usefulness, Perceived Ease of Use, Security, Feature Availability, Re-intention on Use Internet Banking."
"PENGARUH PERILAKU KONSUMEN TERHADAP KEPUTUSAN PEMBELIAN PRODUK HONDA MEREK VARIO
(Study Pada Dealer Surya Agung Motor Bangkalan)

",Penulis : Haryono Arifin,"Dosen Pembimbing I : Dr. Ir Nurita Andriani, MM","Dosen Pembimbing II :Nirma Kurriwati, S.P., M.Si","ABSTRAK
Haryono Arifin, Pengaruh Perilaku Konsumen Terhadap Keputusan Pembelian Produk Honda Merek Vario 
(Studi Pada Dealler Surya Agung Motor Bangkalan).

Tujuan penelitian ini adalah untuk : (1) mengetahui seberapa besar pengaruh perilaku konsumen terhadap keputusan pembelian Honda Merek Vario di Dealer Surya Agung Motor Bangkalan (2) Untuk mengetahui variabel manakah diantara perilaku konsumen yang terdiri dari kebudayaan, sosial, pribadi dan psikologis yang dominan dalam keputusan pembelian konsumen terhadap Honda Merek Vario. Penelitian ini menggunakan pendekatan kuantitatif, yaitu melakukan pengamatan secara langsung kepada responden dengan penyebaran kuesioner untuk dianalisa dan penelitian ini merupakan penelitian yang menggunakan populasi sebanyak 50 responden, konsumen yang melakukan pembelian Honda Merek Vario di Dealer Surya Agung Motor Bangkalan yang dijadikan responden serta dianalisis dengan SPSS Versi 16.00
Kesimpulan penelitian ini adalah (1) Pengujian hipotesis pertama menunjukkan bahwa variabel perilaku konsumen (kebudayaan, sosial, pribadi dan psikologis) berpengaruh secara simultan terhadap keputusan pembelian Honda merek Vario. (2) Pengujian hipotesis kedua menunjukkan bahwa variabel psikologis adalah variabel yang berpengaruh dominan.
Kata kunci: Kebudayaan, Sosial, Pribadi, Psikologis, Keputusan Pembelian.
","ABSTRACT

Haryono Arifin, Influence Consumer Behavior Toward Purchasing Decisions Product Brand Honda Vario
(Studies in Dealler Surya Agung Motor Bangkalan) 

The purpose of this study was to: (1) determine how much influence consumer behavior towards buying decision in Honda Vario Brand Surya Agung Motor Dealer Bangkalan (2) To determine which of the variables in consumer behavior that consists of cultural, social, personal and psychological dominant in consumer purchasing decisions for Honda Brand Vario. This study uses a quantitative approach, namely direct observation to respodnen by distributing questionnaires to be analyzed and this study is a study that used a population of 50 respondents, consumers who make purchases on Dealer Honda Vario Brand Surya Agung Motor Bangkalan as respondents and analyzed with a bunch of SPSS version 16:00
The conclusion of this study were (1) Testing the first hypothesis suggests that consumer behavior variables (cultural, social, personal and psychological) simultaneously influence the purchase decisions of Honda Vario branded. (2) test the second hypothesis suggests that psychological variables are variables that affect the dominant.

Keywords: Culture, Social, Personal, Psychological, Purchase Decision.
"
PENGARUH TIPE KEPEMIMPINAN TERHADAP PRESTASI KERJA PEGAWAI PADA KANTOR KECAMATAN PANGARENGAN KABUPATEN SAMPANG ,Penulis : Dharma Abidin Syah,"Dosen Pembimbing I : Drs. Ec. Mudji Kuswinarno M,Si","Dosen Pembimbing II :Faidal SE, MM","ABSTRAK
	Dharma Abidin Syah,Kesimpulan: (1) Terdapat pengaruh signifikan antara variabel tipe kepemimpinan (Autoritarian, Laissez-Faire, dan Demokratis), secara simultan terhadap variabel Prestasi Kerja pegawai di kantor Kecamatan Pangarengan Kabupaten Sampang. Hasil uji F anova menunjukan bahwa nilai Fhitung (6,459) > Ftabel (2,92). Variabel tipe kepemimpinan (Autoritarian, Laissez-Faire, dan Demokratis), secara simultan memberikan kontribusi sebesar 42,7% terhadap Prestasi Kerja pegawai.(2) Tidak terdapat pengaruh signifikan antara variabel kepemimpinan Tipe Autoritariansecara parsial terhadap Prestasi Kerja pegawaidikantor Kecamatan Pangarengan Kabupaten Sampang. Hasil uji t menunjukan bahwa nilai t hitung (0,652) < t tabel (2,045). Secara parsial variabel kepemimpinan Tipe Autoritarian memberikan kontribusi sebesar 1,61% terhadap variabel Prestasi Kerja pegawai. (3) Tidak terdapat pengaruh signifikan antara variabel kepemimpinan Tipe Laissez-Fairesecara parsial terhadap Prestasi Kerja pegawaidikantor Kecamatan Pangarengan Kabupaten Sampang.
	Hasil uji t menunjukan bahwa nilai t hitung (1,617) < t tabel (2,045). Secara parsial variabel kepemimpinan Tipe Laissez-Faire memberikan kontribusi sebesar 9,12% terhadap variabel Prestasi Kerja pegawai. (4) Terdapat pengaruh signifikan antara variabel kepemimpinan Tipe Demokratis secara parsial terhadap Prestasi Kerja pegawaidikantor Kecamatan Pangarengan Kabupaten Sampang. Hasil uji t menunjukan bahwa nilai t hitung (3,624) > t tabel (2,045). Secara parsial variabel kepemimpinan Tipe Demokratis memberikan kontribusi sebesar 33,52% terhadap variabel Prestasi Kerja pegawai. (5) Variabel Tipe Demokratis mempunyai nilai koefisien determinasi lebih besar daripada variabel bebas lainya dan merupakan variabel dominan berpengaruh terhadap variabel Prestasi Kerja pegawai dikantor Kecamatan Pangarengan Kabupaten Sampang
Kata Kunci: Tipe Kepemimpinan, Prestasi Kerja, Pegawai. 
","ABSTRACT

Dharma Abidin Syah,Conclusions: (1) There is a significant effect between the variable type of leadership (authoritarian, Laissez-Faire, and Democratic), simultaneously to the variable Achievement employees working in the office of District Pangarengan Sampang district. ANOVA F test results show that the value Fcount (6.459)> F table (2.92). Variable type of leadership (authoritarian, Laissez-Faire, and Democratic), simultaneously contributing 42.7% of the employees work achievement. (2) There is no significant effect between variables authoritarian style of leadership partially on Occupational Achievement employees in district offices Pangarengan Sampang district. T test results showed that the t value (0.652) "
PENGARUH KOMPETENSI DOSEN TERHADAP KINERJA DOSEN DI UNIVERSITAS TRUNOJOYO MADURA,Penulis : Aththaariq,"Dosen Pembimbing I : Dr.RM Moch Wispandono,.S.E,.MS","Dosen Pembimbing II :Dr. Muhammad Alkirom Wildan,S.E.,M.Si.","Abstrak

Aththaariq, Pengaruh Kompetensi Dosen Terhadap Kinerja Dosen Di Universitas Trunojoyo Madura. Dibawah bimbingan Dr.RM Moch Wispandono,.S.E,.MS dan Dr. Muhammad Alkirom Wildan,S.E.,M.Si.
Penelitian ini bertujuan untuk menganalisis pengaruh kompetensi pedagogik (X1), kompetensi profesional (X2), kompetensi sosial (X3), dan kompetensi kepribadian (X4), terhadap variabel terikat kinerja dosen di Universitas Trunojoyo Madura.
Data yang digunakan dalam penelitian ini adalah data primer, data tersebut diperoleh dari hasil penyebaran kuesioner,  sedangkan yang menjadi responden dalam penelitian ini adalah dosen di Universitas Trunojoyo Madura yang sudah tersertifikasi aktif mulai dari tahun 2008-2011 berjumlah 78 dosen, teknik pengambilan sampel menggunakan judgmental sampling dengan menggunakan metode analisis regresi linier berganda.
Dari hasil penelitian yang telah dilakukan berdasarkan hasil analisis dapat disimpulkan bahwa kompetensi pedagogik (X1), kompetensi profesional (X2), kompetensi sosial (X3), dan kompetensi kepribadian (X4), berpengaruh secara signifikan terhadap variabel terikat kinerja dosen (Y) baik secara simultan maupun parsial. Pada nilai koefisiensi determinasi berganda (R2) menunjukkan nilai sebesar 0.796 yang artinya 79.6% kinerja dosen dipengaruhi oleh perubahan semua variabel bebas yang telah diteliti dan sisanya 20.4% dipengaruhi oleh variabel yang tidak diteliti. Sedangkan variabel yang memiliki pengaruh dominan adalah variabel kompetensi pedagogik dengan nilai signifikansi sebesar 0.000 dan memiliki nilai beta  sebesar 0.426. 

Kata kunci: Kompetensi pedagogik, kompetensi profesional, kompetensi sosial, kompetensi kepribadian,dan kinerja dosen.

","Abstract

This study is aimed to analyze the influence of pedagogical competence (X1), professional competence (X2), social competence (X3), and personality competence (X4) to the dependent variable, the performance of the lecturers in Trunojoyo Madura University.
The data used in this study are primary data. The data are collected from the result of spreading the questioner out, while the respondents of this study are the lecturers in Trunojoyo Madura University who have been certified as active starting from 2008 until 2011. The respondents are 78 lecturers. The technique of taking the sample is by using judgemental sampling which uses the analysis method of double linier regression
From the result of the study which has been done based on the analysis result, it can be concluded that pedagogical competence (X1), professional competence (X2), social competence (X3), and personality competence (X4) to the dependent variable affect significantly to dependent variable, lecturer’s performance, either simultaneously or partially. The coefficient of double determination (R2) shows the number of 0,796 which means 79,6% of lecturer’s performance is influenced by the change of all independent variables, and the rest is 20,4% which influenced by the variable which while the variable who has dominance influence is pedagogic competence variabel with significance value about 0.000 and has beta value about  0.426. 

Key words: Pedagogical competence, professional competence, social competence, and personality competence, while, the dependent variable is the lecturer’s performance 
"
PENGARUH DIMENSI KUALITAS PELAYANAN TERHADAP KEPUASAN KONSUMEN PADA DEPOT BAROKAH PRAMBON KABUPATEN SIDOARJO,Penulis : Toni Budianto,"Dosen Pembimbing I : Bambang Setiyo Pambudi, S.E., MM.","Dosen Pembimbing II :Fathor AS, S.E., MM.","ABSTRAK

Tujuan penelitian ini adalah untuk mengidentifikasi variabel-variabel yang mempengaruhi kepuasan konsumen baik secara simultan maupun parsial. Metode yang digunakan yaitu dengan metode kuantitatif dengan populasi seluruh konsumen Depot Barokah Prambon yang menggunakan pelayanan dari Depot Barokah Prambon dengan jumlah sampel sebanyak 60 responden menggunakan teknik Accidental Sampling. Teknik analisis yang digunakan adalah analisis regresi linier berganda. Hasil penelitian menunjukkan bahwa variabel independen yang terdiri dari variabel bukti fisik (X1), kehandalan (X2), dan jaminan (X4) secara parsial berpengaruh signifikan terhadap kepuasan konsumen (Y), sedangkan variabel independen daya tanggap (X3) dan empati (X5) berpengaruh tidak signifikan terhadap variabel dependen kepuasan konsumen (Y), Serta variabel jaminan (X4) mempunyai pengaruh yang paling besar terhadap kepuasan konsumen (Y). Sedangkan secara simultan menunjukkan semua variabel independen kualitas pelayanan (X) secara simultan berpengaruh signifikan terhadap variabel dependen kepuasan konsumen (Y).

Kata Kunci : Kualitas Pelayanan, Bukti Fisik, Kehandalan, Daya Tanggap, Jaminan, Empati, dan Kepuasan Konsumen.
","ABSTRACT

The purpose of this study was to identify variables that influence consumer satisfaction either simultaneously or partially. The method used is a quantitative method with the entire population of consumers Depot Barokah Prambon who use services from Depot Barokah Prambon the total sample of 60 respondents Accidental Sampling techniques. The analysis technique used is multiple linear regression analysis. The results showed that the independent variables consisting of tangible variable (X1), reliability (X2), and assurance (X4) partially significant effect on customer satisfaction (Y), while the responsiveness of the independent variable (X3) and empathy (X5) no significant effect on the dependent variable of customer satisfaction (Y), As well assurance variable (X4) have the greatest influence on customer satisfaction (Y). While simultaneously showing all the independent variables of quality of service (X) simultaneously significant effect on customer satisfaction dependent variable (Y)

Keywords : Service Quality, Tangible, Reliability, Responsiveness, Assurance, Empathy, and Customer Satisfaction.
"
"ANALISIS TINGKAT RISIKO KREDIT 
PADA PD. BPR BANK DAERAH LAMONGAN
",Penulis : Iwan Kurniawan Gomes,"Dosen Pembimbing I : Drs. Ec. Makhmud Zulkifli, M.Si","Dosen Pembimbing II :Echsan Gani, S.E., M.SI","Hasil dari penelitian ini dari perhitungan Credit Risk Ratio menunjukan bahwa NPL Pada PD. BPR Bank Daerah Lamongan selama empat tahun (2008-2011) mengalami penurunan hal ini terlihat dari tingkat resiko pada tahun 2008 yang sebesar 8.893.499.978 atau sebesar 9,91%, tahun 2009 sebesar 7.501.778.630 atau sebesar 6,68%, tahun 2010 sebesar 7.986.193.006 atau sebesar 5,40% dan tahun 2011 sebesar 6.555.778.682 atau sebesar 4,88%.
Kesimpulan penelitian ini adalah tingkat resiko pada PD. BPR Bank Daerah Lamongan dari tahun (2008-2011) mengalami penurunan tingkat resiko dan pada tahun 2011 NPL 4,88% dikatagorikan baik berdasarkan ketentuan Bank Indonesia yaitu dengan syarat NPL maksimal sebesar 5%.
Kata kunci : Credit Risk Ratio dan Non Performing Loan.
","Results from this study of Credit Risk Ratio calculation shows that NPL In PD. BPR Lamongan Regional Banks for four years (2008-2011) has decreased it is seen from the level of risk in 2008 which amounted to 8,893,499,978 or by 9.91%, in 2009 at 7501778630 or by 6.68% in 2010 at 7986193006 or by 5.40% and in 2011 at 6555778682 or by 4.88%.
The conclusion of this study is the level of risk in PD. Regional Banks RB Lamongan of years (2008-2011) has decreased the level of risk and in 2011 4.88% NPL categorized either by Bank Indonesia on condition that a maximum NPL of 5%.
Keywords : Credit Risk Ratio and Non Performing Loan.
"
ANALISIS PORTOFOLIO YANG OPTIMAL DI BEI DENGAN MENGGUNAKAN SINGLE-INDEX MODEL,Penulis : Mira Dwiastuti,"Dosen Pembimbing I : Hj Evaliati Amaniyah, S.E, M.S.M","Dosen Pembimbing II :Echsan Gani, S.E, M.Si","Suatu keputusan investasi selalu berhubungan dengan keuntungan dan risiko. Investor yang rasional menginvestasikan dananya ke dalam saham efisien, yaitu saham yang mempunyai return tinggi dengan risiko minimal. Sampel dalam penelitian ini menggunakan saham yang aktif berdasarkan frekuensi perdagangan dan membagi dividen selama dua tahun berturut-turut. Tujuan penelitian adalah untuk membentuk portofolio optimal dan mengetahui perbedaan return dan risiko antara saham kandidat dan non kandidat portofolio. Hasil penelitian menunjukkan terdapat saham yang menjadi kandidat portofolio dari  27 saham yang diteliti dengan nilai cut-off-point sebesar 0.76692. Portofolio optimal dibentuk oleh saham yang mempunyai excess returns to beta (ERB) lebih besar dari Ci, dan diperoleh 13 saham yang masuk perhitungan portofolio optimal. Komposisi atau proporsi dana masing-masing saham adalah PT. Adaro Energy Tbk sebesar 12.597%, PT. Gudang Garam Tbk sebesar 13.417%, PT. HM Sampoerna Tbk sebesar 12.418%, PT. Astra Otopart Tbk sebesar  2.679%, PT. Multi Bintang Indonesia Tbk sebesar 8.225%, PT. Astra Agro Lestari Tbk sebesar 6.846%, PT. Goodyear Indonesia Tbk sebesar 2.973%, PT. Indika Energy Tbk sebesar 5.377%, PT. United Tractors Tbk sebesar 13.88%, PT. Pabrik Kertas Tjiwi Kimia Tbk sebesar 1.494%, PT. Indofood Sukses Makmur Tbk sebesar 4.211%, PT. Astra International Tbk sebesar 12.549%, PT. Bank Negara Indonesia Tbk sebesar 3.335% dengan return portofolio sebesar 0.140997, risiko portofolio sebesar 0.099101 dan excess return to beta portofolio sebesar 0.881142. Berdasarkan hasil diatas dapat disimpulkan bahwa dengan menggunakan metode indeks tunggal, portofolio yang benar-benar optimal dapat diperoleh dengan adanya perhitungan aktiva bebas risiko.
Kata Kunci: Model Indeks Tunggal, portofolio optimal, expected return, excess return to beta, cut-off-point.
","An investment decision is always associated with return and risk. Rational investor will invest their funds in efficient stock which provides high expected return with minimum risk. This research covers securities which have liquid in terms of trading frequency and give dividend yield for two years. The main purposes of this research are to ascertain the optimal portfolio and the differences of return and risk portfolio candidates with non-candidates. This research results showed that there is a candidate shares portfolio of 26 stocks studied with the cut-off-point of 0.76692. Optimal portfolio is formed by having excess to beta (ERB) is grater than Ci, and obtained 13 stocks included in the calculation of the optimal portfolio. The composition or the proportion of each stock fund is PT. Adaro Energy Tbk amounting 12.597%, PT. Gudang Garam Tbk amounting 13.417%, PT. HM Sampoerna Tbk amounting 12.418%, PT. Astra Otopart Tbk amounting  2.679%, PT. Multi Bintang Indonesia Tbk amounting 8.225%, PT. Astra Agro Lestari Tbk amounting 6.846%, PT. Goodyear Indonesia Tbk amounting 2.973%, PT. Indika Energy Tbk amounting 5.377%, PT. United Tractors Tbk amounting 13.88%, PT. Pabrik Kertas Tjiwi Kimia Tbk amounting 1.494%, PT. Indofood Sukses Makmur Tbk amounting 4.211%, PT. Astra International Tbk amounting 12.549%, PT. Bank Negara Indonesia Tbk amounting 3.335% with a portfolio return of 0.140997 , the portfolio risk of  0.099101 and beta portfolio of 0.881142. In conclusion, by using a Single Index Model, portfolio truly optimal can be obtained by the calculation of risk-free assets.
Keywords: Single Index Model, optimal portfolio, expected return, excess return to beta, cut-off-point.                                                                                              
"
Pengaruh Rekrutmen Dan Pengembangan Karir Terhadap Kinerja Karyawan Pada Kantor Pusat PT. Gresik Cipta Sejahtera Kabupaten Gresik,Penulis : Zainal Abidin,"Dosen Pembimbing I : Dr. Iriani Ismail,Dra.,MM","Dosen Pembimbing II :Helmi Buyung Aulia,SE.,ST.,M.MT","Penelitian ini bertujuan untuk mengetahui pengaruh rekrutmen dan pengembangan karir terhdap kinerja yang dilakukan terhadap karyawan  Kantor Pusat  PT. Gresik Cipta Sejahtera Kabupaten Gresik dengan jumlah responden penelitian sebanyak 66 orang karyawan, data yang terkumpul selanjutnya dilakukan analisis Regresi Linier Berganda. Dengan menggunakan alat bantu software SPSS 16.0. hasil analisis terhadap pengujian hipotesis diperoleh sebagai berikut: Variabel Rekrutmen (X1) dan Variabel Pengembangan karir (X2) mempunyai pengaruh simultan terhadap kinerja karyawan dan variabel rekrutmen (X1) merupakan variabel yang dominan mempengaruhi kinerja karyawan Kantor Pusat  PT. Gresik Cipta Sejahtera Kabupaten Gresik.

KataKunci :Rekrutmen,Pengembangan karir dan Kinerja
","This study aimed to determine the effect of recruitment and career development toward employee performance at the Head Office of PT. Gresik Cipta Sejahtera of Gresik regency by the respondents as many as 66 employees, the collected data is then performed multiple linear regression analysis. By using SPSS 16.0 software tools. results obtained by the analysis of hypothesis testing as follows: Recruitment Variable (X1) and career development variables (X2) have an influence simultaneously on the performance of employees and recruitment variables (X1) is the dominant variable affecting the performance of employees of Headquarters PT. Gresik Cipta Sejahtera of Gresik regency.
Keywords: Recruitment, Career Development and Performance
"
"PENGARUH IKLAN ONLINE MELALUI MEDIA FACEBOOK TERHADAP KEPUTUSAN PEMBELIAN PAKAIAN 
(STUDI PADA MAHASISWA FAKULTAS EKONOMI DAN BISNIS UNIVERSITAS TRUNOJOYO MADURA)",Penulis : Hening Ari Putra,Dosen Pembimbing I : Bambang Setyo Pambudi,Dosen Pembimbing II :Suyono,"Abstrak

Hening Ary Putra, Pengaruh Iklan Online Melalui Media Facebook Terhadap Keputusan Pembelian Pakaian (Studi Pada Mahasiswa Fakultas Ekonomi Dan Bisnis Universitas Trunojoyo Madura). Pemimbing Bambang Setiyo Pambudi, S.E., MM., dan Suyono, S.E, M.S.M.
Tujuan penelitian ini adalah untuk mengidentifikasi variabel seperti sikap pada iklan online, daya ingat pada iklan online, dan frekuensi klik pada iklan online yang mempengaruhi Keputusan Pembelian Pakaian pada mahasiswa Fakultas Ekonomi Dan Bisnis Universitas Trunojoyo Madura baik secara simultan maupun parsial.
Hipotesis penelitian ini adalah: Faktor-faktor yang mempengaruhi Keputusan Pembelian Pakaian seperti sikap pada iklan online, daya ingat pada iklan online, dan frekuensi klik pada iklan online berpengaruh secara signifikan terhadap Keputusan Pembelian Pakaian baik secara simultan maupun parsial.
Penelitian ini dilakukan dengan metode kuantitatif dimana populasi dalam penelitian ini adalah mahasiswa Fakultas Ekonomi dan Bisnis Universitas Trunojoyo Madura dan diperoleh sampel sebanyak 40 responden yang diambil dengan menggunakan metode accidental sampling dengan cara menyebarkan kuesioner.
Kesimpulan dari penelitian ini adalah (1) secara simultan pengaruh yang signifikan antara variabel bebas (sikap pada iklan online, daya ingat pada iklan online, dan frekuensi klik pada iklan online) terhadap keputusan pembelian Pakaian (2) secara parsial, menunjukkan bahwa vairabel sikap pada iklan online dan daya ingat pada iklan online berpengaruh positif dan signifikan terhadap Keputusan Pembelian Pakaian, kecuali pada variabel frekuensi klik pada iklan online tidak berpengaruh positif dan signifikan terhadap keputusan pembelian Pakaian. (3) secara parsial variabel daya ingat mempunyai pengaruh yang paling besar terhadap keputusan pembelian pakaian

Kata Kunci : sikap, daya ingat, frekuensi klik, keputusan pembelian pakaian
","Hening Ary Putra, Effect of Online Advertising Through Facebook Against Media Apparel Purchase Decision Clothing (Studies in the Faculty of Economics and Business, University Student Trunojoyo). Mentors Bambang Setiyo Pambudi, SE, MM., And Suyono, SE, MSM.
The purpose of this study was to identify variables like stance on online advertising, online advertising recall in, and the frequency of clicks on online advertisements that influence purchasing decisions on the clothes Faculty of Economics and Business, Universitas Trunojoyo Madura either simultaneously or partially.
The hypotheses are: Factors that influence purchasing decisions like stance on online advertising, online advertising recall in, and the frequency of clicks on online advertising significantly influence  in clothing purchase decisions either simultaneously or partially.
This research was conducted with quantitative methods where the population in this study were students of the Faculty of Economics and Business, Universitas Trunojoyo Madura and obtained a sample of 40 respondents taken using accidental sampling method by distributing questionnaires.
Conclusions of this study were (1) simultaneously a significant relationship between the independent variables (attitude on online advertising, online advertising recall in, and the frequency of clicks on online ads) on purchase decisions clothing (2) partial, shows that vairabel attitude on online advertising and online advertising recall the positive and significant impact on purchasing decisions, except the variable frequency clicks on online ads are not positive and significant impact on purchasing decisions. (3) partial variable recall has the greatest influence on purchasing decisions clothing.

Keywords: attitudes, recall, clicks frequency, purchasing decisions clothing
"
